 

stn;time;pva200s0;tre200s0;rre150z0;ure200s0;tde200s0;fkl010z0
MMGTT;202112030950;3.8;-5.8;0.0;94.8;-6.5;0.5
MMGTT;202112031000;3.8;-5.8;0.0;94.8;-6.5;0.0
MMGTT;202112031010;3.7;-5.9;0.0;94.8;-6.6;0.0
MMGTT;202112031020;3.7;-6.0;0.0;94.8;-6.7;0.5
MMGTT;202112031030;3.7;-6.2;0.0;95.5;-6.8;0.0
MMGTT;202112031040;3.6;-6.3;0.0;94.8;-7.0;0.0
MMGTT;202112031050;3.6;-6.4;0.0;94.8;-7.1;0.0
MMGTT;202112031100;3.6;-6.4;0.0;94.8;-7.1;0.0
MMGTT;202112031110;3.5;-6.6;0.0;94.0;-7.4;0.0
MMGTT;202112031120;3.5;-6.7;0.0;94.0;-7.5;0.0
MMGTT;202112031130;3.5;-6.8;0.0;94.0;-7.6;0.0
MMGTT;202112031140;3.5;-6.8;0.0;94.0;-7.6;0.0
MMGTT;202112031150;3.5;-6.8;0.0;94.0;-7.6;0.0
MMGTT;202112031200;3.4;-6.9;0.0;94.0;-7.7;0.0
MMGTT;202112031210;3.4;-7.1;0.0;94.0;-7.9;0.0
MMGTT;202112031220;3.3;-7.2;0.0;94.0;-8.0;0.0
MMGTT;202112031230;3.3;-7.3;0.0;94.0;-8.1;0.0
MMGTT;202112031240;3.3;-7.4;0.0;94.0;-8.2;0.5
MMGTT;202112031250;3.3;-7.4;0.0;94.0;-8.2;1.0
MMGTT;202112031300;3.3;-7.4;0.0;94.0;-8.2;0.0
MMGTT;202112031310;3.3;-7.3;0.0;94.0;-8.1;0.5
MMGTT;202112031320;3.3;-7.3;0.0;94.0;-8.1;1.0
MMGTT;202112031330;3.3;-7.2;0.0;94.0;-8.0;0.0
MMGTT;202112031340;3.5;-6.8;0.0;94.7;-7.5;1.0
MMGTT;202112031350;3.5;-6.7;0.0;95.5;-7.3;0.5
MMGTT;202112031400;3.6;-6.5;0.0;94.8;-7.2;1.0
MMGTT;202112031410;3.6;-6.3;0.0;95.5;-6.9;1.5
MMGTT;202112031420;3.7;-6.2;0.0;95.5;-6.8;0.5
MMGTT;202112031430;3.7;-6.0;0.0;94.8;-6.7;0.5
MMGTT;202112031440;3.7;-5.9;0.0;94.8;-6.6;0.5
MMGTT;202112031450;3.8;-5.8;0.0;95.5;-6.4;0.5
