,When,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing_type,LW_in
182,2019-02-01 14:30:00,0.1,93.9,0.3,2.364,100.126,0.001,877.5,SW_directSW_diffuseLW_in,288.057
183,2019-02-01 14:45:00,0.1,94.1,0.1,1.517,83.646,0.001,877.4,SW_directSW_diffuseLW_in,290.877
184,2019-02-01 15:00:00,0.0,94.2,0.3,0.671,67.167,0.001,877.1,SW_directSW_diffuseLW_in,293.697
185,2019-02-01 15:15:00,0.0,94.4,0.3,0.503,55.35,0.001,877.1,SW_directSW_diffuseLW_in,294.182
186,2019-02-01 15:30:00,0.0,94.5,0.2,0.336,43.532,0.001,877.0,SW_directSW_diffuseLW_in,294.666
187,2019-02-01 15:45:00,0.0,94.5,0.2,0.168,31.715,0.0,877.2,SW_directSW_diffuseLW_in,295.15
188,2019-02-01 16:00:00,0.0,94.5,0.4,0.0,19.898,0.001,877.4,SW_directSW_diffuseLW_in,295.635
189,2019-02-01 16:15:00,0.0,94.4,0.0,0.0,15.324,0.001,878.0,SW_directSW_diffuseLW_in,295.879
190,2019-02-01 16:30:00,-0.2,94.0,0.394,0.0,10.75,0.001,878.1,v_aSW_directSW_diffuseLW_in,296.123
191,2019-02-01 16:45:00,-0.3,94.1,0.438,0.0,6.175,0.001,878.2,v_aSW_directSW_diffuseLW_in,296.367
192,2019-02-01 17:00:00,-0.4,93.8,0.482,0.0,1.601,0.0,878.5,v_aSW_directSW_diffuseLW_in,296.611
193,2019-02-01 17:15:00,-0.5,93.5,0.524,0.0,1.201,0.0,878.5,v_aSW_directSW_diffuseLW_in,295.407
194,2019-02-01 17:30:00,-0.5,93.8,0.565,0.0,0.8,0.0,878.8,v_aSW_directSW_diffuseLW_in,294.203
195,2019-02-01 17:45:00,-0.5,93.5,0.607,0.0,0.4,0.0,879.2,v_aSW_directSW_diffuseLW_in,293.0
196,2019-02-01 18:00:00,-0.5,93.7,0.649,0.0,0.0,0.0,879.3,v_aSW_directSW_diffuseLW_in,291.796
197,2019-02-01 18:15:00,-0.5,93.6,0.667,0.0,0.0,0.0,879.4,v_aSW_directSW_diffuseLW_in,293.0
198,2019-02-01 18:30:00,-0.4,94.0,0.685,0.0,0.0,0.0,879.6,v_aSW_directSW_diffuseLW_in,294.203
199,2019-02-01 18:45:00,-0.2,94.2,0.704,0.0,0.0,0.0,879.7,v_aSW_directSW_diffuseLW_in,295.406
200,2019-02-01 19:00:00,0.0,94.4,0.722,0.0,0.0,0.0,879.8,v_aSW_directSW_diffuseLW_in,296.61
201,2019-02-01 19:15:00,0.0,94.4,0.729,0.0,0.0,0.0,879.9,v_aSW_directSW_diffuseLW_in,296.412
202,2019-02-01 19:30:00,0.0,94.6,0.737,0.0,0.0,0.0,880.0,v_aSW_directSW_diffuseLW_in,296.213
203,2019-02-01 19:45:00,0.0,94.6,0.744,0.0,0.0,0.0,879.9,v_aSW_directSW_diffuseLW_in,296.014
204,2019-02-01 20:00:00,0.0,94.6,0.752,0.0,0.0,0.0,879.8,v_aSW_directSW_diffuseLW_in,295.816
205,2019-02-01 20:15:00,0.0,94.7,0.741,0.0,0.0,0.0,879.5,v_aSW_directSW_diffuseLW_in,294.726
206,2019-02-01 20:30:00,0.0,94.7,0.73,0.0,0.0,0.0,879.9,v_aSW_directSW_diffuseLW_in,293.636
